2025-05-22_04-42-21 loss=0.000317, validation loss=0.002769, train_mae=0.009373, val_mae=0.012478, params={'n_layers': 3, 'n_units': 683, 'activation': 'leaky_relu', 'optimizer': 'rmsprop', 'lr': 0.002862509626627503, 'batchsize': 1495}
2025-05-22_05-01-00 loss=0.000496, validation loss=0.005446, train_mae=0.015731, val_mae=0.022038, params={'n_layers': 7, 'n_units': 93, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 1.6190359408547305e-05, 'batchsize': 218}
2025-05-22_06-03-48 loss=0.000219, validation loss=0.001333, train_mae=0.005726, val_mae=0.006716, params={'n_layers': 5, 'n_units': 136, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.00040637340495871843, 'batchsize': 1220}
2025-05-22_07-30-41 loss=0.000423, validation loss=0.001501, train_mae=0.011786, val_mae=0.012887, params={'n_layers': 7, 'n_units': 42, 'activation': 'gelu', 'optimizer': 'RAdam', 'lr': 6.339384728623748e-05, 'batchsize': 156}
2025-05-22_08-49-53 loss=0.000311, validation loss=0.001440, train_mae=0.009526, val_mae=0.010446, params={'n_layers': 10, 'n_units': 387, 'activation': 'swish', 'optimizer': 'adam', 'lr': 1.1865601666203334e-05, 'batchsize': 1876}
2025-05-22_09-15-26 loss=0.000436, validation loss=0.001422, train_mae=0.008596, val_mae=0.009435, params={'n_layers': 9, 'n_units': 901, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.0012458829964157956, 'batchsize': 1600}
2025-05-22_09-35-16 loss=0.000193, validation loss=0.002547, train_mae=0.007732, val_mae=0.010025, params={'n_layers': 8, 'n_units': 472, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.0013693944172939432, 'batchsize': 41}
2025-05-22_10-24-17 loss=0.000514, validation loss=0.004549, train_mae=0.015991, val_mae=0.021175, params={'n_layers': 15, 'n_units': 485, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.00525882520406992, 'batchsize': 777}
2025-05-22_10-46-22 loss=1.000082, validation loss=0.998105, train_mae=0.755705, val_mae=0.753938, params={'n_layers': 9, 'n_units': 956, 'activation': 'selu', 'optimizer': 'adam', 'lr': 0.002057539838900649, 'batchsize': 2001}
2025-05-22_10-56-12 loss=0.000222, validation loss=0.003272, train_mae=0.010092, val_mae=0.013823, params={'n_layers': 15, 'n_units': 477, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.0005620949790750284, 'batchsize': 1039}
2025-05-22_13-36-59 loss=0.000132, validation loss=0.002219, train_mae=0.006671, val_mae=0.008566, params={'n_layers': 5, 'n_units': 126, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0005665761937940355, 'batchsize': 24}
2025-05-22_14-02-29 loss=0.000318, validation loss=0.006944, train_mae=0.007838, val_mae=0.020391, params={'n_layers': 12, 'n_units': 638, 'activation': 'relu', 'optimizer': 'adam', 'lr': 0.00025159544622652884, 'batchsize': 1580}
2025-05-22_14-37-44 loss=0.000227, validation loss=0.001458, train_mae=0.005904, val_mae=0.007074, params={'n_layers': 4, 'n_units': 131, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.001986589617856059, 'batchsize': 902}
2025-05-22_15-35-44 loss=0.000170, validation loss=0.001577, train_mae=0.006458, val_mae=0.007721, params={'n_layers': 4, 'n_units': 139, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.003565686564261716, 'batchsize': 859}
2025-05-22_16-40-35 loss=0.001151, validation loss=0.002962, train_mae=0.020858, val_mae=0.022459, params={'n_layers': 7, 'n_units': 31, 'activation': 'elu', 'optimizer': 'adam', 'lr': 0.00011366312061549257, 'batchsize': 1324}
2025-05-22_17-12-12 loss=0.003193, validation loss=0.012175, train_mae=0.041350, val_mae=0.062384, params={'n_layers': 6, 'n_units': 1024, 'activation': 'tanh', 'optimizer': 'adam', 'lr': 0.006053546003492493, 'batchsize': 473}
2025-05-22_17-42-03 loss=0.003981, validation loss=0.005407, train_mae=0.020385, val_mae=0.021585, params={'n_layers': 6, 'n_units': 152, 'activation': 'swish', 'optimizer': 'AdamW', 'lr': 0.00056212915017935, 'batchsize': 428}
2025-05-22_18-22-24 loss=0.005548, validation loss=0.010546, train_mae=0.062484, val_mae=0.067303, params={'n_layers': 6, 'n_units': 484, 'activation': 'elu', 'optimizer': 'rmsprop', 'lr': 0.00486796991537886, 'batchsize': 1982}
2025-05-22_18-31-29 loss=0.000075, validation loss=0.001441, train_mae=0.004693, val_mae=0.006003, params={'n_layers': 4, 'n_units': 90, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0070000282097136485, 'batchsize': 1132}
2025-05-22_19-09-10 loss=0.000088, validation loss=0.001388, train_mae=0.005049, val_mae=0.006545, params={'n_layers': 6, 'n_units': 77, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.009363068077032882, 'batchsize': 1514}
2025-05-22_19-58-06 loss=0.000087, validation loss=0.001661, train_mae=0.006160, val_mae=0.007695, params={'n_layers': 6, 'n_units': 78, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.005153768040706117, 'batchsize': 1559}
2025-05-22_22-42-32 loss=0.001951, validation loss=0.003692, train_mae=0.026881, val_mae=0.028126, params={'n_layers': 13, 'n_units': 43, 'activation': 'gelu', 'optimizer': 'rmsprop', 'lr': 3.7413754791545335e-05, 'batchsize': 621}
2025-05-22_22-43-00 loss=0.000268, validation loss=0.003916, train_mae=0.010863, val_mae=0.016155, params={'n_layers': 8, 'n_units': 168, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.00019363672877925812, 'batchsize': 1565}
2025-05-22_23-14-19 loss=0.000118, validation loss=0.001530, train_mae=0.006237, val_mae=0.007540, params={'n_layers': 4, 'n_units': 997, 'activation': 'elu', 'optimizer': 'adam', 'lr': 1.2373855414886179e-05, 'batchsize': 431}
2025-05-22_23-23-21 loss=0.000156, validation loss=0.001366, train_mae=0.005629, val_mae=0.006805, params={'n_layers': 4, 'n_units': 83, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.005295790041291668, 'batchsize': 1211}
2025-05-22_23-59-10 loss=0.000237, validation loss=0.001219, train_mae=0.007382, val_mae=0.008209, params={'n_layers': 5, 'n_units': 37, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.009754848154114168, 'batchsize': 1211}
2025-05-23_00-57-40 loss=0.000071, validation loss=0.003082, train_mae=0.005422, val_mae=0.009410, params={'n_layers': 5, 'n_units': 123, 'activation': 'relu', 'optimizer': 'adam', 'lr': 0.0016406364998060915, 'batchsize': 1035}
2025-05-23_00-58-19 loss=0.000577, validation loss=0.007573, train_mae=0.017843, val_mae=0.026377, params={'n_layers': 11, 'n_units': 597, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.005745355892229197, 'batchsize': 1679}
2025-05-23_00-59-35 loss=0.000559, validation loss=0.001288, train_mae=0.013399, val_mae=0.014081, params={'n_layers': 3, 'n_units': 23, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.006412158373699135, 'batchsize': 1138}
2025-05-23_01-45-16 loss=0.000217, validation loss=0.001234, train_mae=0.006477, val_mae=0.007370, params={'n_layers': 7, 'n_units': 1021, 'activation': 'swish', 'optimizer': 'adam', 'lr': 1.176789937543225e-05, 'batchsize': 1078}
2025-05-23_01-52-55 loss=0.000113, validation loss=0.001759, train_mae=0.005479, val_mae=0.007092, params={'n_layers': 3, 'n_units': 194, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.001929201151822935, 'batchsize': 757}
