2025-05-16_16-44-35 loss=0.014101, validation loss=0.023687, train_mae=0.103980, val_mae=0.110027, params={'n_layers': 9, 'n_units': 418, 'activation': 'selu', 'optimizer': 'rmsprop', 'lr': 0.0034528960589360813, 'batchsize': 647}
2025-05-16_17-04-49 loss=0.000098, validation loss=0.007278, train_mae=0.005819, val_mae=0.017528, params={'n_layers': 10, 'n_units': 302, 'activation': 'relu', 'optimizer': 'RAdam', 'lr': 0.00025397773354838594, 'batchsize': 696}
2025-05-16_17-07-04 loss=0.088492, validation loss=0.093791, train_mae=0.167236, val_mae=0.169044, params={'n_layers': 10, 'n_units': 265, 'activation': 'leaky_relu', 'optimizer': 'sgd', 'lr': 0.0008930955869123183, 'batchsize': 1940}
2025-05-16_17-07-50 loss=1.000015, validation loss=1.025460, train_mae=0.756309, val_mae=0.759193, params={'n_layers': 9, 'n_units': 189, 'activation': 'sigmoid', 'optimizer': 'AdamW', 'lr': 0.002724096271895451, 'batchsize': 774}
2025-05-16_17-10-47 loss=0.000494, validation loss=0.001679, train_mae=0.008572, val_mae=0.009489, params={'n_layers': 3, 'n_units': 342, 'activation': 'swish', 'optimizer': 'rmsprop', 'lr': 0.0028312625919432867, 'batchsize': 1602}
2025-05-16_17-18-20 loss=0.001100, validation loss=0.004177, train_mae=0.014718, val_mae=0.016655, params={'n_layers': 4, 'n_units': 372, 'activation': 'tanh', 'optimizer': 'AdamW', 'lr': 0.0043504527093615524, 'batchsize': 1660}
2025-05-16_17-29-51 loss=0.002031, validation loss=0.003351, train_mae=0.013435, val_mae=0.014209, params={'n_layers': 4, 'n_units': 77, 'activation': 'swish', 'optimizer': 'AdamW', 'lr': 0.0020980858313010883, 'batchsize': 1609}
2025-05-16_17-35-54 loss=0.000156, validation loss=0.004405, train_mae=0.007426, val_mae=0.012356, params={'n_layers': 5, 'n_units': 461, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 0.0007233293861944709, 'batchsize': 1841}
2025-05-16_17-39-54 loss=0.000187, validation loss=0.001463, train_mae=0.006379, val_mae=0.007825, params={'n_layers': 2, 'n_units': 286, 'activation': 'elu', 'optimizer': 'adam', 'lr': 0.0018073224401951463, 'batchsize': 1651}
2025-05-16_17-43-20 loss=0.000225, validation loss=0.001363, train_mae=0.007505, val_mae=0.008829, params={'n_layers': 2, 'n_units': 95, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.0023682317537904616, 'batchsize': 1542}
2025-05-16_17-49-20 loss=0.025932, validation loss=0.027157, train_mae=0.088578, val_mae=0.089020, params={'n_layers': 6, 'n_units': 149, 'activation': 'swish', 'optimizer': 'sgd', 'lr': 0.008399407908651214, 'batchsize': 1452}
2025-05-16_18-05-29 loss=1.000014, validation loss=1.025464, train_mae=0.756262, val_mae=0.759146, params={'n_layers': 10, 'n_units': 335, 'activation': 'sigmoid', 'optimizer': 'AdamW', 'lr': 0.0015808574318587109, 'batchsize': 1211}
2025-05-16_18-09-34 loss=1.000000, validation loss=1.025545, train_mae=0.755914, val_mae=0.758808, params={'n_layers': 10, 'n_units': 227, 'activation': 'swish', 'optimizer': 'sgd', 'lr': 0.00048324453109505495, 'batchsize': 1731}
2025-05-16_18-25-05 loss=0.000158, validation loss=0.004257, train_mae=0.007325, val_mae=0.012906, params={'n_layers': 7, 'n_units': 453, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 0.002261476269512031, 'batchsize': 793}
2025-05-16_18-33-53 loss=0.000201, validation loss=0.000726, train_mae=0.005207, val_mae=0.005870, params={'n_layers': 9, 'n_units': 286, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.00014406076176223185, 'batchsize': 1631}
2025-05-16_18-44-36 loss=0.000248, validation loss=0.003564, train_mae=0.010701, val_mae=0.015230, params={'n_layers': 5, 'n_units': 93, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 0.00031323138849731307, 'batchsize': 1093}
2025-05-16_18-57-05 loss=0.149383, validation loss=0.160157, train_mae=0.236222, val_mae=0.239043, params={'n_layers': 6, 'n_units': 120, 'activation': 'selu', 'optimizer': 'sgd', 'lr': 0.00023134969576615167, 'batchsize': 905}
2025-05-16_19-02-18 loss=0.000194, validation loss=0.001072, train_mae=0.006512, val_mae=0.007435, params={'n_layers': 10, 'n_units': 142, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0008421563778083943, 'batchsize': 1783}
2025-05-16_19-06-11 loss=0.005602, validation loss=0.006547, train_mae=0.021744, val_mae=0.022160, params={'n_layers': 1, 'n_units': 426, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0016196975983522911, 'batchsize': 1415}
2025-05-16_19-11-57 loss=0.000193, validation loss=0.003106, train_mae=0.009019, val_mae=0.011894, params={'n_layers': 4, 'n_units': 121, 'activation': 'relu', 'optimizer': 'RAdam', 'lr': 0.008839151958626154, 'batchsize': 949}
2025-05-16_19-36-57 loss=0.001765, validation loss=0.007682, train_mae=0.024741, val_mae=0.029077, params={'n_layers': 10, 'n_units': 496, 'activation': 'relu', 'optimizer': 'AdamW', 'lr': 0.00026875362782018635, 'batchsize': 173}
2025-05-16_19-45-16 loss=0.000839, validation loss=0.001499, train_mae=0.017052, val_mae=0.017930, params={'n_layers': 5, 'n_units': 63, 'activation': 'sigmoid', 'optimizer': 'rmsprop', 'lr': 0.00983717788484307, 'batchsize': 1415}
2025-05-16_19-52-27 loss=0.000105, validation loss=0.003791, train_mae=0.006733, val_mae=0.011400, params={'n_layers': 6, 'n_units': 178, 'activation': 'tanh', 'optimizer': 'adam', 'lr': 0.004801236117306179, 'batchsize': 975}
2025-05-16_19-53-58 loss=0.000127, validation loss=0.001446, train_mae=0.004883, val_mae=0.006090, params={'n_layers': 8, 'n_units': 327, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.0005020811249993891, 'batchsize': 1432}
2025-05-16_20-21-21 loss=0.002260, validation loss=0.005965, train_mae=0.031533, val_mae=0.033976, params={'n_layers': 6, 'n_units': 21, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 0.00012138784774756503, 'batchsize': 498}
2025-05-16_20-23-05 loss=0.004447, validation loss=0.005226, train_mae=0.020876, val_mae=0.021237, params={'n_layers': 1, 'n_units': 104, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.001044249962561089, 'batchsize': 1384}
2025-05-16_20-35-11 loss=0.012425, validation loss=0.015532, train_mae=0.055920, val_mae=0.057327, params={'n_layers': 9, 'n_units': 423, 'activation': 'tanh', 'optimizer': 'sgd', 'lr': 0.001602954266817859, 'batchsize': 664}
2025-05-16_20-45-04 loss=0.000192, validation loss=0.001096, train_mae=0.005923, val_mae=0.006855, params={'n_layers': 8, 'n_units': 332, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.0006535789832837873, 'batchsize': 1392}
2025-05-16_20-50-34 loss=0.001955, validation loss=0.003790, train_mae=0.018952, val_mae=0.019878, params={'n_layers': 2, 'n_units': 76, 'activation': 'elu', 'optimizer': 'rmsprop', 'lr': 0.0005133634238947385, 'batchsize': 1925}
2025-05-16_21-23-24 loss=0.000247, validation loss=0.019106, train_mae=0.011680, val_mae=0.043874, params={'n_layers': 7, 'n_units': 204, 'activation': 'tanh', 'optimizer': 'rmsprop', 'lr': 0.003113102809052829, 'batchsize': 820}
2025-05-16_21-28-48 loss=0.000190, validation loss=0.001349, train_mae=0.005633, val_mae=0.006666, params={'n_layers': 8, 'n_units': 327, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.0005219166299000384, 'batchsize': 1359}
