loss=0.000388, validation loss=0.000911, train_mae=0.009282, val_mae=0.009989, params={'n_layers': 4, 'n_units': 329, 'activation': 'sigmoid', 'lr': 0.0002402941064471049, 'optimizer': 'adam'}
loss=0.000784, validation loss=0.001193, train_mae=0.013404, val_mae=0.014709, params={'n_layers': 4, 'n_units': 411, 'activation': 'relu', 'lr': 0.00023668374769269396, 'optimizer': 'adam'}
loss=0.000483, validation loss=0.001006, train_mae=0.007969, val_mae=0.008649, params={'n_layers': 2, 'n_units': 354, 'activation': 'sigmoid', 'lr': 0.0007926442517747049, 'optimizer': 'adam'}
loss=0.000389, validation loss=0.002462, train_mae=0.011508, val_mae=0.013211, params={'n_layers': 6, 'n_units': 237, 'activation': 'tanh', 'lr': 0.00014393506229974754, 'optimizer': 'adam'}
loss=0.061511, validation loss=0.063296, train_mae=0.148468, val_mae=0.149566, params={'n_layers': 3, 'n_units': 314, 'activation': 'elu', 'lr': 0.000343414717335757, 'optimizer': 'sgd'}
loss=0.074116, validation loss=0.078659, train_mae=0.175189, val_mae=0.175392, params={'n_layers': 5, 'n_units': 275, 'activation': 'relu', 'lr': 0.0001383216717662358, 'optimizer': 'AdamW'}
loss=0.000333, validation loss=0.001459, train_mae=0.007894, val_mae=0.008935, params={'n_layers': 3, 'n_units': 369, 'activation': 'swish', 'lr': 0.00019442531558478408, 'optimizer': 'adam'}
loss=0.000501, validation loss=0.000882, train_mae=0.010154, val_mae=0.010742, params={'n_layers': 4, 'n_units': 213, 'activation': 'sigmoid', 'lr': 0.00037821311862127824, 'optimizer': 'adam'}
loss=0.001003, validation loss=0.001865, train_mae=0.011655, val_mae=0.012976, params={'n_layers': 2, 'n_units': 252, 'activation': 'leaky_relu', 'lr': 0.0006484052660460973, 'optimizer': 'adam'}
loss=0.017066, validation loss=0.017593, train_mae=0.069533, val_mae=0.069838, params={'n_layers': 6, 'n_units': 405, 'activation': 'gelu', 'lr': 0.00109220578004533, 'optimizer': 'AdamW'}
loss=0.000606, validation loss=0.000750, train_mae=0.010562, val_mae=0.011051, params={'n_layers': 4, 'n_units': 309, 'activation': 'sigmoid', 'lr': 0.0001618927425958119, 'optimizer': 'adam'}
loss=0.000796, validation loss=0.000973, train_mae=0.012619, val_mae=0.013073, params={'n_layers': 3, 'n_units': 317, 'activation': 'sigmoid', 'lr': 0.00014181579693500748, 'optimizer': 'adam'}
loss=0.007314, validation loss=0.008255, train_mae=0.047456, val_mae=0.048335, params={'n_layers': 4, 'n_units': 344, 'activation': 'sigmoid', 'lr': 0.00012571365956212923, 'optimizer': 'rmsprop'}
loss=0.000150, validation loss=0.002710, train_mae=0.007257, val_mae=0.009704, params={'n_layers': 5, 'n_units': 265, 'activation': 'tanh', 'lr': 0.00028458826231559536, 'optimizer': 'adam'}
loss=0.000659, validation loss=0.000817, train_mae=0.011534, val_mae=0.012042, params={'n_layers': 3, 'n_units': 361, 'activation': 'sigmoid', 'lr': 0.00016527205756402237, 'optimizer': 'adam'}
loss=0.000952, validation loss=0.001287, train_mae=0.013468, val_mae=0.014103, params={'n_layers': 2, 'n_units': 435, 'activation': 'sigmoid', 'lr': 0.000210717201453481, 'optimizer': 'adam'}
loss=0.011210, validation loss=0.014563, train_mae=0.047366, val_mae=0.048562, params={'n_layers': 1, 'n_units': 392, 'activation': 'elu', 'lr': 0.00040157531857034815, 'optimizer': 'rmsprop'}
loss=0.274527, validation loss=0.280872, train_mae=0.352919, val_mae=0.353193, params={'n_layers': 3, 'n_units': 359, 'activation': 'relu', 'lr': 0.00010196878560887844, 'optimizer': 'sgd'}
loss=0.000689, validation loss=0.001114, train_mae=0.009981, val_mae=0.010561, params={'n_layers': 3, 'n_units': 311, 'activation': 'gelu', 'lr': 0.00016992723955785617, 'optimizer': 'adam'}
loss=0.006990, validation loss=0.008273, train_mae=0.049289, val_mae=0.049714, params={'n_layers': 2, 'n_units': 23, 'activation': 'selu', 'lr': 0.00028036717227720043, 'optimizer': 'adam'}
loss=0.000577, validation loss=0.000797, train_mae=0.010326, val_mae=0.010813, params={'n_layers': 4, 'n_units': 327, 'activation': 'sigmoid', 'lr': 0.0001249835378696844, 'optimizer': 'adam'}
loss=0.000710, validation loss=0.000867, train_mae=0.011383, val_mae=0.011853, params={'n_layers': 4, 'n_units': 284, 'activation': 'sigmoid', 'lr': 0.00011965404941094021, 'optimizer': 'adam'}
loss=0.000418, validation loss=0.001133, train_mae=0.009948, val_mae=0.010901, params={'n_layers': 5, 'n_units': 364, 'activation': 'sigmoid', 'lr': 0.0001747184901158942, 'optimizer': 'adam'}
loss=0.000216, validation loss=0.001213, train_mae=0.007412, val_mae=0.008343, params={'n_layers': 3, 'n_units': 323, 'activation': 'swish', 'lr': 0.00021266438348241636, 'optimizer': 'adam'}
loss=0.000677, validation loss=0.000868, train_mae=0.012821, val_mae=0.013306, params={'n_layers': 4, 'n_units': 304, 'activation': 'sigmoid', 'lr': 0.00011508275702500463, 'optimizer': 'RAdam'}
loss=0.000459, validation loss=0.001114, train_mae=0.010029, val_mae=0.010853, params={'n_layers': 5, 'n_units': 395, 'activation': 'sigmoid', 'lr': 0.00024447605240956495, 'optimizer': 'adam'}
loss=0.001201, validation loss=0.002270, train_mae=0.017291, val_mae=0.019053, params={'n_layers': 4, 'n_units': 356, 'activation': 'leaky_relu', 'lr': 0.00016827520109934278, 'optimizer': 'rmsprop'}
loss=0.000357, validation loss=0.001329, train_mae=0.011550, val_mae=0.012655, params={'n_layers': 3, 'n_units': 421, 'activation': 'sigmoid', 'lr': 0.0052175796346410706, 'optimizer': 'adam'}
loss=0.459486, validation loss=0.478717, train_mae=0.465174, val_mae=0.468391, params={'n_layers': 3, 'n_units': 235, 'activation': 'sigmoid', 'lr': 0.0001331049027849961, 'optimizer': 'AdamW'}
loss=1.000041, validation loss=1.027663, train_mae=0.751162, val_mae=0.754464, params={'n_layers': 7, 'n_units': 344, 'activation': 'sigmoid', 'lr': 0.0004499941497477039, 'optimizer': 'adam'}
loss=0.000471, validation loss=0.000768, train_mae=0.009328, val_mae=0.009912, params={'n_layers': 4, 'n_units': 330, 'activation': 'sigmoid', 'lr': 0.00015568069630174678, 'optimizer': 'adam'}
loss=0.000497, validation loss=0.000750, train_mae=0.009637, val_mae=0.010183, params={'n_layers': 4, 'n_units': 297, 'activation': 'sigmoid', 'lr': 0.000162998976197352, 'optimizer': 'adam'}
loss=0.000531, validation loss=0.000870, train_mae=0.010255, val_mae=0.010837, params={'n_layers': 4, 'n_units': 297, 'activation': 'sigmoid', 'lr': 0.0003181513553950422, 'optimizer': 'adam'}
loss=0.000214, validation loss=0.001267, train_mae=0.009189, val_mae=0.010521, params={'n_layers': 5, 'n_units': 267, 'activation': 'selu', 'lr': 0.0001008881996423117, 'optimizer': 'adam'}
loss=0.000496, validation loss=0.000834, train_mae=0.009634, val_mae=0.010256, params={'n_layers': 4, 'n_units': 284, 'activation': 'sigmoid', 'lr': 0.0001975506498866563, 'optimizer': 'adam'}
loss=0.000285, validation loss=0.002755, train_mae=0.009771, val_mae=0.011777, params={'n_layers': 6, 'n_units': 328, 'activation': 'tanh', 'lr': 0.0001263725819078432, 'optimizer': 'RAdam'}
loss=1.000006, validation loss=1.027777, train_mae=0.750790, val_mae=0.754103, params={'n_layers': 5, 'n_units': 74, 'activation': 'sigmoid', 'lr': 0.0001506077317293464, 'optimizer': 'sgd'}
loss=0.000398, validation loss=0.000891, train_mae=0.009539, val_mae=0.010254, params={'n_layers': 4, 'n_units': 380, 'activation': 'sigmoid', 'lr': 0.0002656292292410444, 'optimizer': 'adam'}
loss=0.000169, validation loss=0.001070, train_mae=0.006802, val_mae=0.007735, params={'n_layers': 4, 'n_units': 341, 'activation': 'elu', 'lr': 0.0002147142638723957, 'optimizer': 'adam'}
loss=0.000950, validation loss=0.001871, train_mae=0.014259, val_mae=0.014952, params={'n_layers': 9, 'n_units': 300, 'activation': 'swish', 'lr': 0.000564091641774545, 'optimizer': 'adam'}
loss=0.000726, validation loss=0.000876, train_mae=0.012387, val_mae=0.012838, params={'n_layers': 3, 'n_units': 370, 'activation': 'sigmoid', 'lr': 0.00016896363035963117, 'optimizer': 'adam'}
loss=0.000962, validation loss=0.001115, train_mae=0.014207, val_mae=0.014684, params={'n_layers': 3, 'n_units': 321, 'activation': 'sigmoid', 'lr': 0.00011234194911228421, 'optimizer': 'adam'}
loss=0.001369, validation loss=0.001774, train_mae=0.015498, val_mae=0.016053, params={'n_layers': 2, 'n_units': 347, 'activation': 'sigmoid', 'lr': 0.00015890245726301328, 'optimizer': 'adam'}
loss=0.000407, validation loss=0.000755, train_mae=0.009474, val_mae=0.010119, params={'n_layers': 4, 'n_units': 392, 'activation': 'sigmoid', 'lr': 0.00018602787401886733, 'optimizer': 'adam'}
loss=0.000519, validation loss=0.000771, train_mae=0.009925, val_mae=0.010485, params={'n_layers': 4, 'n_units': 397, 'activation': 'sigmoid', 'lr': 0.00018642109852562837, 'optimizer': 'adam'}
loss=0.000307, validation loss=0.002029, train_mae=0.009861, val_mae=0.011162, params={'n_layers': 5, 'n_units': 462, 'activation': 'gelu', 'lr': 0.00018478032131192848, 'optimizer': 'adam'}
loss=0.000465, validation loss=0.000839, train_mae=0.010125, val_mae=0.010689, params={'n_layers': 4, 'n_units': 276, 'activation': 'sigmoid', 'lr': 0.000238346885637728, 'optimizer': 'adam'}
loss=0.042441, validation loss=0.045421, train_mae=0.134369, val_mae=0.134444, params={'n_layers': 4, 'n_units': 396, 'activation': 'relu', 'lr': 0.00032244457436458076, 'optimizer': 'AdamW'}
loss=0.000279, validation loss=0.001632, train_mae=0.009502, val_mae=0.010933, params={'n_layers': 5, 'n_units': 449, 'activation': 'sigmoid', 'lr': 0.00040950284579883105, 'optimizer': 'adam'}
loss=0.002358, validation loss=0.003559, train_mae=0.021839, val_mae=0.023613, params={'n_layers': 4, 'n_units': 328, 'activation': 'leaky_relu', 'lr': 0.0007265328639258714, 'optimizer': 'rmsprop'}
loss=0.000477, validation loss=0.000777, train_mae=0.009674, val_mae=0.010274, params={'n_layers': 4, 'n_units': 416, 'activation': 'sigmoid', 'lr': 0.00013453288443076515, 'optimizer': 'adam'}
