31: loss=0.000378, validation loss=0.001365, train_mae=0.009501, val_mae=0.010334, params={'n_layers': 3, 'n_units': 249, 'activation': 'gelu', 'lr': 0.00015652354319702053, 'optimizer': 'RAdam'}
32: loss=0.000175, validation loss=0.000989, train_mae=0.006319, val_mae=0.007196, params={'n_layers': 3, 'n_units': 269, 'activation': 'gelu', 'lr': 0.0001380894292448778, 'optimizer': 'RAdam'}
33: loss=0.000866, validation loss=0.001117, train_mae=0.011012, val_mae=0.011345, params={'n_layers': 4, 'n_units': 278, 'activation': 'gelu', 'lr': 0.00010354806374755267, 'optimizer': 'RAdam'}
34: loss=0.209004, validation loss=0.221525, train_mae=0.305492, val_mae=0.308985, params={'n_layers': 4, 'n_units': 278, 'activation': 'gelu', 'lr': 0.0001015653727399234, 'optimizer': 'AdamW'}
35: loss=0.001783, validation loss=0.002230, train_mae=0.019029, val_mae=0.019488, params={'n_layers': 5, 'n_units': 321, 'activation': 'elu', 'lr': 0.003765502581437261, 'optimizer': 'RAdam'}
36: loss=0.000625, validation loss=0.001363, train_mae=0.007999, val_mae=0.008716, params={'n_layers': 2, 'n_units': 384, 'activation': 'gelu', 'lr': 0.00030685778698561226, 'optimizer': 'RAdam'}
37: loss=0.000214, validation loss=0.001927, train_mae=0.008037, val_mae=0.010528, params={'n_layers': 4, 'n_units': 369, 'activation': 'leaky_relu', 'lr': 0.00021502663298460903, 'optimizer': 'RAdam'}
38: loss=0.501197, validation loss=0.514502, train_mae=0.485944, val_mae=0.486938, params={'n_layers': 6, 'n_units': 434, 'activation': 'sigmoid', 'lr': 0.00017387271195232375, 'optimizer': 'AdamW'}
39: loss=0.074508, validation loss=0.076946, train_mae=0.156388, val_mae=0.157033, params={'n_layers': 1, 'n_units': 281, 'activation': 'selu', 'lr': 0.001359032994148267, 'optimizer': 'sgd'}
40: loss=0.001982, validation loss=0.002267, train_mae=0.015987, val_mae=0.016622, params={'n_layers': 5, 'n_units': 182, 'activation': 'gelu', 'lr': 0.00012848796515116422, 'optimizer': 'rmsprop'}
41: loss=0.000516, validation loss=0.000972, train_mae=0.008947, val_mae=0.009543, params={'n_layers': 3, 'n_units': 231, 'activation': 'gelu', 'lr': 0.0001335250231764121, 'optimizer': 'RAdam'}
42: loss=0.000102, validation loss=0.001566, train_mae=0.005165, val_mae=0.006495, params={'n_layers': 3, 'n_units': 306, 'activation': 'gelu', 'lr': 0.0005341408228447834, 'optimizer': 'RAdam'}
43: loss=0.000592, validation loss=0.001446, train_mae=0.012281, val_mae=0.013045, params={'n_layers': 4, 'n_units': 243, 'activation': 'gelu', 'lr': 0.00019440013839719687, 'optimizer': 'RAdam'}
44: loss=0.000536, validation loss=0.001339, train_mae=0.013111, val_mae=0.014459, params={'n_layers': 3, 'n_units': 276, 'activation': 'relu', 'lr': 0.00012858647138249405, 'optimizer': 'RAdam'}
45: loss=0.000628, validation loss=0.000854, train_mae=0.007700, val_mae=0.008192, params={'n_layers': 2, 'n_units': 330, 'activation': 'gelu', 'lr': 0.00010363743084712715, 'optimizer': 'RAdam'}
