loss=0.000536, validation loss=0.001229, train_mae=0.012177, val_mae=0.013394, params={'n_layers': 3, 'n_units': 309, 'activation': 'tanh', 'lr': 0.001162595557207863, 'optimizer': 'RAdam'}
loss=0.000632, validation loss=0.001237, train_mae=0.013929, val_mae=0.014959, params={'n_layers': 3, 'n_units': 261, 'activation': 'tanh', 'lr': 0.001555309101814334, 'optimizer': 'RAdam'}
loss=0.155395, validation loss=0.169937, train_mae=0.241230, val_mae=0.245278, params={'n_layers': 1, 'n_units': 225, 'activation': 'elu', 'lr': 0.000813566508933262, 'optimizer': 'AdamW'}
loss=0.000332, validation loss=0.001083, train_mae=0.009634, val_mae=0.010575, params={'n_layers': 5, 'n_units': 306, 'activation': 'sigmoid', 'lr': 0.0005451884466371048, 'optimizer': 'RAdam'}
loss=0.000242, validation loss=0.001418, train_mae=0.008889, val_mae=0.010077, params={'n_layers': 5, 'n_units': 367, 'activation': 'sigmoid', 'lr': 0.0005783259909873527, 'optimizer': 'RAdam'}
loss=0.421361, validation loss=0.440084, train_mae=0.451475, val_mae=0.455409, params={'n_layers': 4, 'n_units': 428, 'activation': 'sigmoid', 'lr': 0.00016886746418547669, 'optimizer': 'AdamW'}
loss=0.000732, validation loss=0.001244, train_mae=0.015177, val_mae=0.015851, params={'n_layers': 6, 'n_units': 133, 'activation': 'sigmoid', 'lr': 0.0004979760412472941, 'optimizer': 'RAdam'}
loss=0.149422, validation loss=0.153971, train_mae=0.251562, val_mae=0.252165, params={'n_layers': 2, 'n_units': 170, 'activation': 'leaky_relu', 'lr': 0.0003217628044078829, 'optimizer': 'sgd'}
loss=0.000861, validation loss=0.001940, train_mae=0.019411, val_mae=0.021484, params={'n_layers': 5, 'n_units': 321, 'activation': 'selu', 'lr': 0.0008028258204943633, 'optimizer': 'rmsprop'}
loss=1.000081, validation loss=1.027645, train_mae=0.751602, val_mae=0.754914, params={'n_layers': 8, 'n_units': 285, 'activation': 'sigmoid', 'lr': 0.0002070323887736027, 'optimizer': 'AdamW'}
loss=0.000265, validation loss=0.000982, train_mae=0.009297, val_mae=0.010249, params={'n_layers': 3, 'n_units': 366, 'activation': 'elu', 'lr': 0.0005002835443792732, 'optimizer': 'RAdam'}
loss=0.005671, validation loss=0.008797, train_mae=0.035313, val_mae=0.036231, params={'n_layers': 1, 'n_units': 367, 'activation': 'elu', 'lr': 0.0004987186724763828, 'optimizer': 'RAdam'}
loss=0.000395, validation loss=0.000848, train_mae=0.008452, val_mae=0.009098, params={'n_layers': 3, 'n_units': 235, 'activation': 'elu', 'lr': 0.00025967082466729575, 'optimizer': 'RAdam'}
loss=0.000285, validation loss=0.001060, train_mae=0.010603, val_mae=0.011452, params={'n_layers': 4, 'n_units': 440, 'activation': 'elu', 'lr': 0.0003986428714049738, 'optimizer': 'adam'}
loss=0.003507, validation loss=0.004051, train_mae=0.041361, val_mae=0.042018, params={'n_layers': 4, 'n_units': 433, 'activation': 'elu', 'lr': 0.009674795930953274, 'optimizer': 'adam'}
loss=0.000914, validation loss=0.001434, train_mae=0.012911, val_mae=0.013650, params={'n_layers': 5, 'n_units': 429, 'activation': 'elu', 'lr': 0.00039384623546589943, 'optimizer': 'adam'}
loss=0.000583, validation loss=0.001611, train_mae=0.014304, val_mae=0.015241, params={'n_layers': 4, 'n_units': 511, 'activation': 'elu', 'lr': 0.0007920647064485327, 'optimizer': 'adam'}
loss=0.000259, validation loss=0.001548, train_mae=0.009979, val_mae=0.011216, params={'n_layers': 6, 'n_units': 371, 'activation': 'elu', 'lr': 0.0005653841851716874, 'optimizer': 'adam'}
loss=0.002042, validation loss=0.002431, train_mae=0.018971, val_mae=0.019518, params={'n_layers': 3, 'n_units': 474, 'activation': 'elu', 'lr': 0.00013978846186978735, 'optimizer': 'rmsprop'}
loss=0.000281, validation loss=0.001605, train_mae=0.009248, val_mae=0.010419, params={'n_layers': 4, 'n_units': 233, 'activation': 'elu', 'lr': 0.000455567981333618, 'optimizer': 'adam'}
loss=0.000358, validation loss=0.001654, train_mae=0.011744, val_mae=0.013596, params={'n_layers': 3, 'n_units': 322, 'activation': 'relu', 'lr': 0.00030831768460995896, 'optimizer': 'RAdam'}
loss=0.000223, validation loss=0.001599, train_mae=0.008308, val_mae=0.009415, params={'n_layers': 3, 'n_units': 282, 'activation': 'gelu', 'lr': 0.00037307543173141326, 'optimizer': 'RAdam'}
loss=0.000201, validation loss=0.001304, train_mae=0.007688, val_mae=0.008640, params={'n_layers': 3, 'n_units': 407, 'activation': 'elu', 'lr': 0.0002752933934152355, 'optimizer': 'RAdam'}
loss=0.002085, validation loss=0.002812, train_mae=0.017097, val_mae=0.017749, params={'n_layers': 5, 'n_units': 243, 'activation': 'swish', 'lr': 0.003910762284690029, 'optimizer': 'adam'}
loss=0.000260, validation loss=0.001041, train_mae=0.009910, val_mae=0.011067, params={'n_layers': 3, 'n_units': 468, 'activation': 'selu', 'lr': 0.0003705599071622206, 'optimizer': 'RAdam'}
loss=0.000228, validation loss=0.001029, train_mae=0.009997, val_mae=0.011167, params={'n_layers': 4, 'n_units': 467, 'activation': 'selu', 'lr': 0.00025442138280631747, 'optimizer': 'RAdam'}
loss=0.000408, validation loss=0.001518, train_mae=0.012502, val_mae=0.014379, params={'n_layers': 4, 'n_units': 472, 'activation': 'selu', 'lr': 0.00017670795149227298, 'optimizer': 'rmsprop'}
loss=0.000219, validation loss=0.000960, train_mae=0.010026, val_mae=0.011285, params={'n_layers': 10, 'n_units': 486, 'activation': 'selu', 'lr': 0.0002613510534280201, 'optimizer': 'RAdam'}
loss=0.000716, validation loss=0.001514, train_mae=0.015809, val_mae=0.016822, params={'n_layers': 8, 'n_units': 490, 'activation': 'selu', 'lr': 0.0002472072410421182, 'optimizer': 'RAdam'}
loss=0.000509, validation loss=0.001321, train_mae=0.013961, val_mae=0.015228, params={'n_layers': 10, 'n_units': 454, 'activation': 'selu', 'lr': 0.00011135206460101273, 'optimizer': 'RAdam'}
loss=0.000633, validation loss=0.001445, train_mae=0.015565, val_mae=0.016639, params={'n_layers': 9, 'n_units': 450, 'activation': 'selu', 'lr': 0.0003640218788059794, 'optimizer': 'RAdam'}
