loss=0.000677, validation loss=0.001400, train_mae=0.012163, val_mae=0.013606, params={'n_layers': 3, 'n_units': 311, 'activation': 'leaky_relu', 'lr': 0.0012330647663492387, 'optimizer': 'RAdam'}
loss=0.001023, validation loss=0.001890, train_mae=0.011984, val_mae=0.013269, params={'n_layers': 2, 'n_units': 251, 'activation': 'leaky_relu', 'lr': 0.0012687240161672263, 'optimizer': 'RAdam'}
loss=0.000628, validation loss=0.001251, train_mae=0.011748, val_mae=0.012890, params={'n_layers': 3, 'n_units': 228, 'activation': 'leaky_relu', 'lr': 0.002348862633488197, 'optimizer': 'RAdam'}
loss=0.013801, validation loss=0.015557, train_mae=0.059003, val_mae=0.060330, params={'n_layers': 2, 'n_units': 177, 'activation': 'leaky_relu', 'lr': 0.005483259468931661, 'optimizer': 'sgd'}
loss=0.000647, validation loss=0.001365, train_mae=0.013337, val_mae=0.014090, params={'n_layers': 4, 'n_units': 228, 'activation': 'elu', 'lr': 0.0023802141806409196, 'optimizer': 'adam'}
loss=0.001095, validation loss=0.001619, train_mae=0.018637, val_mae=0.019274, params={'n_layers': 5, 'n_units': 219, 'activation': 'elu', 'lr': 0.0026475881624066474, 'optimizer': 'adam'}
loss=0.003463, validation loss=0.004850, train_mae=0.033077, val_mae=0.033937, params={'n_layers': 4, 'n_units': 117, 'activation': 'elu', 'lr': 0.005317105207026916, 'optimizer': 'adam'}
loss=0.001029, validation loss=0.001396, train_mae=0.016598, val_mae=0.017364, params={'n_layers': 6, 'n_units': 79, 'activation': 'elu', 'lr': 0.0023431786299043396, 'optimizer': 'adam'}
loss=1.000721, validation loss=1.028077, train_mae=0.751091, val_mae=0.754365, params={'n_layers': 4, 'n_units': 278, 'activation': 'elu', 'lr': 0.008719018570424343, 'optimizer': 'adam'}
loss=0.000830, validation loss=0.001562, train_mae=0.014543, val_mae=0.015208, params={'n_layers': 5, 'n_units': 169, 'activation': 'swish', 'lr': 0.003612441819806769, 'optimizer': 'adam'}
loss=0.002837, validation loss=0.004039, train_mae=0.022041, val_mae=0.023694, params={'n_layers': 3, 'n_units': 270, 'activation': 'leaky_relu', 'lr': 0.0014677101551336944, 'optimizer': 'rmsprop'}
loss=0.169809, validation loss=0.185986, train_mae=0.263721, val_mae=0.268442, params={'n_layers': 3, 'n_units': 233, 'activation': 'sigmoid', 'lr': 0.00081150037866704, 'optimizer': 'AdamW'}
loss=0.000685, validation loss=0.001600, train_mae=0.011391, val_mae=0.012199, params={'n_layers': 2, 'n_units': 193, 'activation': 'gelu', 'lr': 0.0021865694330979652, 'optimizer': 'RAdam'}
loss=0.001336, validation loss=0.002066, train_mae=0.014141, val_mae=0.015180, params={'n_layers': 2, 'n_units': 130, 'activation': 'leaky_relu', 'lr': 0.00032713523848887957, 'optimizer': 'adam'}
loss=0.000335, validation loss=0.001107, train_mae=0.009354, val_mae=0.010316, params={'n_layers': 3, 'n_units': 291, 'activation': 'elu', 'lr': 0.0004656667437335959, 'optimizer': 'RAdam'}
loss=0.007280, validation loss=0.010392, train_mae=0.040523, val_mae=0.041449, params={'n_layers': 1, 'n_units': 301, 'activation': 'elu', 'lr': 0.0003546080306943396, 'optimizer': 'RAdam'}
loss=0.031256, validation loss=0.032421, train_mae=0.090654, val_mae=0.090934, params={'n_layers': 4, 'n_units': 327, 'activation': 'elu', 'lr': 0.0004268523120221755, 'optimizer': 'AdamW'}
loss=0.000735, validation loss=0.001081, train_mae=0.013294, val_mae=0.013930, params={'n_layers': 5, 'n_units': 62, 'activation': 'elu', 'lr': 0.0002529789643518315, 'optimizer': 'RAdam'}
loss=0.000452, validation loss=0.002235, train_mae=0.011941, val_mae=0.013663, params={'n_layers': 5, 'n_units': 348, 'activation': 'tanh', 'lr': 0.0002855492909780229, 'optimizer': 'RAdam'}
loss=1.000013, validation loss=1.027698, train_mae=0.751095, val_mae=0.754399, params={'n_layers': 8, 'n_units': 63, 'activation': 'sigmoid', 'lr': 0.0005211634469378903, 'optimizer': 'RAdam'}
loss=0.000281, validation loss=0.001106, train_mae=0.008520, val_mae=0.009334, params={'n_layers': 4, 'n_units': 224, 'activation': 'elu', 'lr': 0.00025648650380990146, 'optimizer': 'RAdam'}
loss=0.000169, validation loss=0.000976, train_mae=0.007393, val_mae=0.008402, params={'n_layers': 5, 'n_units': 296, 'activation': 'elu', 'lr': 0.0002526097050969589, 'optimizer': 'RAdam'}
loss=0.000117, validation loss=0.001439, train_mae=0.006171, val_mae=0.007507, params={'n_layers': 5, 'n_units': 288, 'activation': 'elu', 'lr': 0.00022342264193412617, 'optimizer': 'RAdam'}
loss=0.000165, validation loss=0.001059, train_mae=0.007597, val_mae=0.008800, params={'n_layers': 6, 'n_units': 381, 'activation': 'elu', 'lr': 0.000252821081204815, 'optimizer': 'RAdam'}
loss=0.000276, validation loss=0.001358, train_mae=0.008289, val_mae=0.009453, params={'n_layers': 6, 'n_units': 420, 'activation': 'elu', 'lr': 0.0001533710957255528, 'optimizer': 'RAdam'}
loss=0.000166, validation loss=0.001355, train_mae=0.007689, val_mae=0.008933, params={'n_layers': 7, 'n_units': 377, 'activation': 'elu', 'lr': 0.0002633635260854595, 'optimizer': 'RAdam'}
loss=0.000110, validation loss=0.001649, train_mae=0.005374, val_mae=0.006900, params={'n_layers': 6, 'n_units': 452, 'activation': 'elu', 'lr': 0.00010555824727827295, 'optimizer': 'RAdam'}
