loss=0.000633, validation loss=0.001169, train_mae=0.012323, val_mae=0.012810, params={'n_layers': 6, 'n_units': 98, 'activation': 'swish', 'lr': 0.0002428385181045513, 'optimizer': 'RAdam'}
loss=0.000373, validation loss=0.000873, train_mae=0.010206, val_mae=0.010745, params={'n_layers': 4, 'n_units': 91, 'activation': 'swish', 'lr': 0.00027812454541592855, 'optimizer': 'RAdam'}
loss=0.002724, validation loss=0.003696, train_mae=0.028507, val_mae=0.029070, params={'n_layers': 3, 'n_units': 20, 'activation': 'swish', 'lr': 0.0005238412161873578, 'optimizer': 'RAdam'}
loss=0.020979, validation loss=0.022253, train_mae=0.087541, val_mae=0.088459, params={'n_layers': 4, 'n_units': 84, 'activation': 'relu', 'lr': 0.0007909323130692056, 'optimizer': 'sgd'}
loss=0.002124, validation loss=0.002242, train_mae=0.021009, val_mae=0.021644, params={'n_layers': 3, 'n_units': 49, 'activation': 'tanh', 'lr': 0.0006770794827436886, 'optimizer': 'rmsprop'}
loss=0.345424, validation loss=0.360768, train_mae=0.387791, val_mae=0.390637, params={'n_layers': 8, 'n_units': 130, 'activation': 'swish', 'lr': 0.00017839045827323466, 'optimizer': 'AdamW'}
loss=0.000437, validation loss=0.002431, train_mae=0.013498, val_mae=0.016516, params={'n_layers': 10, 'n_units': 330, 'activation': 'leaky_relu', 'lr': 0.0001012045066346839, 'optimizer': 'RAdam'}
loss=0.003321, validation loss=0.004032, train_mae=0.027290, val_mae=0.027862, params={'n_layers': 3, 'n_units': 38, 'activation': 'tanh', 'lr': 0.0003061493073302646, 'optimizer': 'rmsprop'}
loss=0.022310, validation loss=0.024420, train_mae=0.100042, val_mae=0.102022, params={'n_layers': 7, 'n_units': 89, 'activation': 'relu', 'lr': 0.004074076140667669, 'optimizer': 'adam'}
loss=0.005039, validation loss=0.006735, train_mae=0.038663, val_mae=0.039692, params={'n_layers': 10, 'n_units': 158, 'activation': 'selu', 'lr': 0.0018790795493179651, 'optimizer': 'sgd'}
loss=0.000695, validation loss=0.001115, train_mae=0.013546, val_mae=0.014102, params={'n_layers': 6, 'n_units': 87, 'activation': 'swish', 'lr': 0.00027551065614016696, 'optimizer': 'RAdam'}
loss=0.000492, validation loss=0.000901, train_mae=0.012092, val_mae=0.012630, params={'n_layers': 4, 'n_units': 50, 'activation': 'swish', 'lr': 0.0004214367861579986, 'optimizer': 'RAdam'}
loss=0.000760, validation loss=0.001122, train_mae=0.013625, val_mae=0.014111, params={'n_layers': 4, 'n_units': 45, 'activation': 'swish', 'lr': 0.0004621677039098817, 'optimizer': 'RAdam'}
loss=0.001126, validation loss=0.001290, train_mae=0.017761, val_mae=0.018152, params={'n_layers': 5, 'n_units': 60, 'activation': 'sigmoid', 'lr': 0.00046851373188908573, 'optimizer': 'RAdam'}
loss=0.020873, validation loss=0.021475, train_mae=0.073043, val_mae=0.073142, params={'n_layers': 2, 'n_units': 18, 'activation': 'swish', 'lr': 0.0001501537671235599, 'optimizer': 'RAdam'}
loss=0.000646, validation loss=0.002800, train_mae=0.013375, val_mae=0.015149, params={'n_layers': 4, 'n_units': 117, 'activation': 'swish', 'lr': 0.0009349679234120717, 'optimizer': 'rmsprop'}
loss=0.000342, validation loss=0.000999, train_mae=0.010593, val_mae=0.011301, params={'n_layers': 5, 'n_units': 76, 'activation': 'gelu', 'lr': 0.00038364051426513474, 'optimizer': 'RAdam'}
loss=0.024096, validation loss=0.025247, train_mae=0.095642, val_mae=0.096483, params={'n_layers': 5, 'n_units': 426, 'activation': 'gelu', 'lr': 0.00041381895526404244, 'optimizer': 'sgd'}
loss=0.000625, validation loss=0.001092, train_mae=0.011111, val_mae=0.011569, params={'n_layers': 4, 'n_units': 86, 'activation': 'gelu', 'lr': 0.00034264176995970355, 'optimizer': 'RAdam'}
loss=0.000549, validation loss=0.001308, train_mae=0.012782, val_mae=0.013610, params={'n_layers': 3, 'n_units': 499, 'activation': 'gelu', 'lr': 0.0006390279730106855, 'optimizer': 'RAdam'}
loss=0.000711, validation loss=0.001153, train_mae=0.014879, val_mae=0.015534, params={'n_layers': 4, 'n_units': 38, 'activation': 'elu', 'lr': 0.001392616226349606, 'optimizer': 'RAdam'}
loss=0.000438, validation loss=0.001019, train_mae=0.011392, val_mae=0.012074, params={'n_layers': 5, 'n_units': 76, 'activation': 'sigmoid', 'lr': 0.001043237713088503, 'optimizer': 'RAdam'}
loss=0.000655, validation loss=0.000863, train_mae=0.013459, val_mae=0.013978, params={'n_layers': 5, 'n_units': 74, 'activation': 'sigmoid', 'lr': 0.00074065696934279, 'optimizer': 'RAdam'}
loss=0.000451, validation loss=0.001284, train_mae=0.011570, val_mae=0.012355, params={'n_layers': 5, 'n_units': 118, 'activation': 'sigmoid', 'lr': 0.0005918293869740195, 'optimizer': 'RAdam'}
loss=0.352022, validation loss=0.370387, train_mae=0.400244, val_mae=0.403526, params={'n_layers': 4, 'n_units': 65, 'activation': 'sigmoid', 'lr': 0.0007270938362226716, 'optimizer': 'AdamW'}
loss=0.000386, validation loss=0.001773, train_mae=0.010304, val_mae=0.011242, params={'n_layers': 6, 'n_units': 153, 'activation': 'gelu', 'lr': 0.0003347855375065407, 'optimizer': 'adam'}
