0: loss=0.090140, params={'n_layers': 5, 'n_units': 375, 'activation': 'swish', 'lr': 0.007023366705110221, 'optimizer': 'rmsprop'}
0: loss=0.003224, params={'n_layers': 1, 'n_units': 348, 'activation': 'elu', 'lr': 0.008595978127650243, 'optimizer': 'adam'}
1: loss=1.027616, params={'n_layers': 9, 'n_units': 191, 'activation': 'sigmoid', 'lr': 0.006664562885103201, 'optimizer': 'rmsprop'}
2635358
28: loss=0.000545, validation loss=0.001027, train_mae=0.011861, val_mae=0.012531, params={'n_layers': 4, 'n_units': 102, 'activation': 'sigmoid', 'lr': 0.0008241444593120884, 'optimizer': 'adam'}
29: loss=1.000022, validation loss=1.027675, train_mae=0.751322, val_mae=0.754621, params={'n_layers': 6, 'n_units': 73, 'activation': 'sigmoid', 'lr': 0.0011959216761358038, 'optimizer': 'adam'}
30: loss=1.000020, validation loss=1.027688, train_mae=0.751350, val_mae=0.754654, params={'n_layers': 6, 'n_units': 175, 'activation': 'sigmoid', 'lr': 0.0020261001843808425, 'optimizer': 'adam'}
31: loss=0.000477, validation loss=0.000823, train_mae=0.010795, val_mae=0.011328, params={'n_layers': 4, 'n_units': 74, 'activation': 'sigmoid', 'lr': 0.0007670967463049517, 'optimizer': 'adam'}
32: loss=0.003904, validation loss=0.004180, train_mae=0.035951, val_mae=0.036515, params={'n_layers': 4, 'n_units': 18, 'activation': 'sigmoid', 'lr': 0.0006942009153241479, 'optimizer': 'adam'}
33: loss=0.000734, validation loss=0.001608, train_mae=0.014914, val_mae=0.015663, params={'n_layers': 4, 'n_units': 85, 'activation': 'elu', 'lr': 0.0014507292430216763, 'optimizer': 'adam'}
34: loss=0.000290, validation loss=0.000914, train_mae=0.009638, val_mae=0.010486, params={'n_layers': 5, 'n_units': 154, 'activation': 'sigmoid', 'lr': 0.0010706646807717504, 'optimizer': 'adam'}
35: loss=0.100198, validation loss=0.110013, train_mae=0.182689, val_mae=0.185353, params={'n_layers': 6, 'n_units': 53, 'activation': 'tanh', 'lr': 0.00040112940834389176, 'optimizer': 'AdamW'}
36: loss=0.000560, validation loss=0.000973, train_mae=0.011921, val_mae=0.012455, params={'n_layers': 5, 'n_units': 109, 'activation': 'sigmoid', 'lr': 0.0006945629871686803, 'optimizer': 'adam'}
37: loss=0.000274, validation loss=0.001569, train_mae=0.009414, val_mae=0.010508, params={'n_layers': 5, 'n_units': 150, 'activation': 'sigmoid', 'lr': 0.0009976545228392874, 'optimizer': 'adam'}
38: loss=0.019583, validation loss=0.020785, train_mae=0.083981, val_mae=0.084895, params={'n_layers': 3, 'n_units': 200, 'activation': 'selu', 'lr': 0.0009965999620346502, 'optimizer': 'sgd'}
39: loss=0.000767, validation loss=0.001878, train_mae=0.016186, val_mae=0.017758, params={'n_layers': 5, 'n_units': 109, 'activation': 'tanh', 'lr': 0.0016860363285766146, 'optimizer': 'adam'}
40: loss=0.028119, validation loss=0.029366, train_mae=0.101117, val_mae=0.102666, params={'n_layers': 8, 'n_units': 16, 'activation': 'leaky_relu', 'lr': 0.00711681387927218, 'optimizer': 'AdamW'}
41: loss=0.000482, validation loss=0.001127, train_mae=0.011708, val_mae=0.012440, params={'n_layers': 5, 'n_units': 101, 'activation': 'sigmoid', 'lr': 0.0005967846444499902, 'optimizer': 'adam'}
42: loss=0.000805, validation loss=0.001247, train_mae=0.015975, val_mae=0.016733, params={'n_layers': 6, 'n_units': 54, 'activation': 'sigmoid', 'lr': 0.0006473177049037532, 'optimizer': 'adam'}
43: loss=0.005615, validation loss=0.006209, train_mae=0.039020, val_mae=0.039644, params={'n_layers': 5, 'n_units': 149, 'activation': 'sigmoid', 'lr': 0.0002777055962005303, 'optimizer': 'rmsprop'}
44: loss=1.000050, validation loss=1.027648, train_mae=0.751634, val_mae=0.754925, params={'n_layers': 7, 'n_units': 117, 'activation': 'sigmoid', 'lr': 0.0009865240642877252, 'optimizer': 'adam'}
45: loss=0.000514, validation loss=0.001662, train_mae=0.015046, val_mae=0.016617, params={'n_layers': 6, 'n_units': 86, 'activation': 'selu', 'lr': 0.0004789797632568035, 'optimizer': 'adam'}
46: loss=0.000169, validation loss=0.001386, train_mae=0.007331, val_mae=0.008599, params={'n_layers': 5, 'n_units': 198, 'activation': 'elu', 'lr': 0.00038626457498995483, 'optimizer': 'adam'}
47: loss=0.002129, validation loss=0.002507, train_mae=0.022327, val_mae=0.023313, params={'n_layers': 4, 'n_units': 50, 'activation': 'relu', 'lr': 0.0012022113836956663, 'optimizer': 'rmsprop'}
48: loss=0.000626, validation loss=0.001132, train_mae=0.012180, val_mae=0.012818, params={'n_layers': 3, 'n_units': 160, 'activation': 'sigmoid', 'lr': 0.004417073667748514, 'optimizer': 'adam'}
49: loss=0.013347, validation loss=0.014623, train_mae=0.069293, val_mae=0.070308, params={'n_layers': 7, 'n_units': 258, 'activation': 'gelu', 'lr': 0.0007197487476019967, 'optimizer': 'sgd'}
50: loss=1.000015, validation loss=1.027698, train_mae=0.751005, val_mae=0.754315, params={'n_layers': 5, 'n_units': 76, 'activation': 'sigmoid', 'lr': 0.002154992025051633, 'optimizer': 'AdamW'}
51: loss=0.000464, validation loss=0.000853, train_mae=0.010964, val_mae=0.011493, params={'n_layers': 4, 'n_units': 128, 'activation': 'sigmoid', 'lr': 0.0009113872241226835, 'optimizer': 'adam'}
52: loss=0.000477, validation loss=0.000749, train_mae=0.010084, val_mae=0.010571, params={'n_layers': 3, 'n_units': 120, 'activation': 'sigmoid', 'lr': 0.0009005197963726911, 'optimizer': 'adam'}
53: loss=0.000378, validation loss=0.000803, train_mae=0.009805, val_mae=0.010415, params={'n_layers': 3, 'n_units': 128, 'activation': 'sigmoid', 'lr': 0.0008805996059469268, 'optimizer': 'adam'}
54: loss=0.000175, validation loss=0.001157, train_mae=0.007455, val_mae=0.008371, params={'n_layers': 3, 'n_units': 125, 'activation': 'swish', 'lr': 0.0009026931222881117, 'optimizer': 'adam'}
55: loss=0.001120, validation loss=0.001913, train_mae=0.012425, val_mae=0.013610, params={'n_layers': 2, 'n_units': 189, 'activation': 'leaky_relu', 'lr': 0.0005381215068723771, 'optimizer': 'adam'}
56: loss=0.005972, validation loss=0.007008, train_mae=0.036087, val_mae=0.036843, params={'n_layers': 3, 'n_units': 224, 'activation': 'sigmoid', 'lr': 0.00011943082354986227, 'optimizer': 'rmsprop'}
57: loss=0.001600, validation loss=0.002022, train_mae=0.022003, val_mae=0.022921, params={'n_layers': 2, 'n_units': 136, 'activation': 'relu', 'lr': 0.0016899018179438675, 'optimizer': 'adam'}
58: loss=0.038147, validation loss=0.039714, train_mae=0.118906, val_mae=0.119734, params={'n_layers': 3, 'n_units': 157, 'activation': 'tanh', 'lr': 0.0008614019487247766, 'optimizer': 'sgd'}
59: loss=0.005957, validation loss=0.007378, train_mae=0.036753, val_mae=0.037078, params={'n_layers': 1, 'n_units': 124, 'activation': 'sigmoid', 'lr': 0.00044395676296202555, 'optimizer': 'adam'}
