loss=0.000570, validation loss=0.000809, train_mae=0.010413, val_mae=0.010917, params={'n_layers': 4, 'n_units': 376, 'activation': 'sigmoid', 'lr': 0.00018873515140526524, 'optimizer': 'RAdam'}
loss=0.000475, validation loss=0.000806, train_mae=0.009562, val_mae=0.010150, params={'n_layers': 4, 'n_units': 380, 'activation': 'sigmoid', 'lr': 0.00023478823477233874, 'optimizer': 'RAdam'}
loss=0.000566, validation loss=0.000712, train_mae=0.009586, val_mae=0.010063, params={'n_layers': 3, 'n_units': 407, 'activation': 'sigmoid', 'lr': 0.00024827911617662936, 'optimizer': 'RAdam'}
loss=0.000424, validation loss=0.001258, train_mae=0.011318, val_mae=0.012281, params={'n_layers': 3, 'n_units': 462, 'activation': 'selu', 'lr': 0.0002549384720574158, 'optimizer': 'RAdam'}
loss=0.242233, validation loss=0.261059, train_mae=0.321383, val_mae=0.325999, params={'n_layers': 2, 'n_units': 404, 'activation': 'sigmoid', 'lr': 0.00033579241646742187, 'optimizer': 'AdamW'}
loss=0.000333, validation loss=0.001617, train_mae=0.007408, val_mae=0.008472, params={'n_layers': 3, 'n_units': 441, 'activation': 'gelu', 'lr': 0.00013275212276386345, 'optimizer': 'RAdam'}
loss=0.002310, validation loss=0.003038, train_mae=0.021252, val_mae=0.021727, params={'n_layers': 1, 'n_units': 335, 'activation': 'swish', 'lr': 0.0019253566084530248, 'optimizer': 'RAdam'}
loss=1.000034, validation loss=1.027662, train_mae=0.751488, val_mae=0.754784, params={'n_layers': 6, 'n_units': 429, 'activation': 'sigmoid', 'lr': 0.000821006951615349, 'optimizer': 'AdamW'}
loss=0.074895, validation loss=0.079142, train_mae=0.159374, val_mae=0.160802, params={'n_layers': 2, 'n_units': 263, 'activation': 'elu', 'lr': 0.00048751138336644963, 'optimizer': 'sgd'}
loss=0.000137, validation loss=0.002440, train_mae=0.007396, val_mae=0.010414, params={'n_layers': 5, 'n_units': 486, 'activation': 'tanh', 'lr': 0.00023543469244180138, 'optimizer': 'RAdam'}
loss=0.000376, validation loss=0.000927, train_mae=0.009406, val_mae=0.010209, params={'n_layers': 4, 'n_units': 380, 'activation': 'sigmoid', 'lr': 0.0003029072580904687, 'optimizer': 'RAdam'}
loss=0.000692, validation loss=0.000832, train_mae=0.011745, val_mae=0.012205, params={'n_layers': 3, 'n_units': 366, 'activation': 'sigmoid', 'lr': 0.0001508515544262299, 'optimizer': 'RAdam'}
loss=0.000265, validation loss=0.002077, train_mae=0.008501, val_mae=0.010773, params={'n_layers': 4, 'n_units': 403, 'activation': 'leaky_relu', 'lr': 0.00021310601457569944, 'optimizer': 'RAdam'}
