loss=0.000630, validation loss=0.000815, train_mae=0.011056, val_mae=0.011527, params={'n_layers': 4, 'n_units': 168, 'activation': 'sigmoid', 'lr': 0.00024727546273545166, 'optimizer': 'adam'}
loss=0.000874, validation loss=0.001041, train_mae=0.014989, val_mae=0.015397, params={'n_layers': 4, 'n_units': 158, 'activation': 'sigmoid', 'lr': 0.00015819513869719308, 'optimizer': 'adam'}
loss=0.004884, validation loss=0.005675, train_mae=0.037280, val_mae=0.037967, params={'n_layers': 5, 'n_units': 95, 'activation': 'sigmoid', 'lr': 0.0005218158473329857, 'optimizer': 'rmsprop'}
loss=0.006444, validation loss=0.007961, train_mae=0.036016, val_mae=0.036829, params={'n_layers': 1, 'n_units': 169, 'activation': 'leaky_relu', 'lr': 0.00028380000281928047, 'optimizer': 'RAdam'}
loss=0.000520, validation loss=0.001390, train_mae=0.009581, val_mae=0.010252, params={'n_layers': 3, 'n_units': 108, 'activation': 'swish', 'lr': 0.000831511251869654, 'optimizer': 'adam'}
loss=0.000529, validation loss=0.002590, train_mae=0.014567, val_mae=0.017279, params={'n_layers': 6, 'n_units': 256, 'activation': 'tanh', 'lr': 0.0013336241169823973, 'optimizer': 'adam'}
loss=0.000596, validation loss=0.001435, train_mae=0.013745, val_mae=0.015257, params={'n_layers': 4, 'n_units': 216, 'activation': 'relu', 'lr': 0.0004683259384088606, 'optimizer': 'RAdam'}
loss=0.001788, validation loss=0.002004, train_mae=0.018636, val_mae=0.018992, params={'n_layers': 2, 'n_units': 64, 'activation': 'gelu', 'lr': 0.00016828038265960442, 'optimizer': 'adam'}
loss=0.046903, validation loss=0.049405, train_mae=0.127807, val_mae=0.128565, params={'n_layers': 3, 'n_units': 173, 'activation': 'selu', 'lr': 0.00028312670589649894, 'optimizer': 'sgd'}
loss=0.001461, validation loss=0.001921, train_mae=0.021345, val_mae=0.022330, params={'n_layers': 4, 'n_units': 144, 'activation': 'elu', 'lr': 0.0020368846151713024, 'optimizer': 'rmsprop'}
loss=0.000364, validation loss=0.000871, train_mae=0.009207, val_mae=0.009950, params={'n_layers': 4, 'n_units': 325, 'activation': 'sigmoid', 'lr': 0.00023974137553252873, 'optimizer': 'adam'}
loss=0.000248, validation loss=0.001011, train_mae=0.008871, val_mae=0.009844, params={'n_layers': 4, 'n_units': 335, 'activation': 'sigmoid', 'lr': 0.000725000223535658, 'optimizer': 'adam'}
loss=0.000530, validation loss=0.000896, train_mae=0.011096, val_mae=0.011791, params={'n_layers': 5, 'n_units': 372, 'activation': 'sigmoid', 'lr': 0.00013533643647009008, 'optimizer': 'adam'}
loss=0.000269, validation loss=0.001129, train_mae=0.009520, val_mae=0.010550, params={'n_layers': 6, 'n_units': 420, 'activation': 'swish', 'lr': 0.0002798375202301429, 'optimizer': 'adam'}
loss=0.000885, validation loss=0.001062, train_mae=0.014008, val_mae=0.014452, params={'n_layers': 3, 'n_units': 274, 'activation': 'sigmoid', 'lr': 0.00013270353349669663, 'optimizer': 'adam'}
